Category,University,Faculty,Program,2022,2023,2024
آداب,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,الإجازة في العربية,97.875,95.6117,98.1618
آداب,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,الإجازة في الإنقليزية,115.4263,112.1467,109.9199
آداب,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,الإجازة في الفرنسية,76.2884,71.7734,71.6818
آداب,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,الإجازة في علم الاجتماع,109.6857,109.5627,111.7883
آداب,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,الإجازة في علم النفس,131.195,130.475,128.755
آداب,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,الإجازة في الفلسفة,102.7735,98.6599,95.608
آداب,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,الإجازة في التاريخ,86.5966,85.2935,81.85
آداب,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,الإجازة في الجغرافيا,86.0686,88.6199,88.8702
آداب,جامعة تونس,المعهد العالي للتنشيط الشبابي والثقافي ببئر الباي,الإجازة في الوساطة والتنشيط,104.335,100.36,103.105
آداب,جامعة تونس,المعهد العالى للفنون الجميلة بتونس,الإجازة في الفنون التشكيلية,92.302,91.4389,96.3358
آداب,جامعة تونس,المعهد العالى للفنون الجميلة بتونس,الإجازة في تصميم الفضاء,133.5467,126.6345,127.1214
آداب,جامعة تونس,المعهد العالى للفنون الجميلة بتونس,الاجازة في تصميم المنتوج,111.2152,137.4736,112.7138
آداب,جامعة تونس,المعهد العالى للفنون الجميلة بتونس,الاجازة في تصميم الصورة,113.955,111.5903,114.3723
آداب,جامعة تونس,المعهد العالي للموسيقى بتونس,الإجازة في الموسيقى و العلوم الموسيقية,98.275,79.0569,93.4982
آداب,جامعة تونس,المعهدالعالي للفن المسرحي بتونس,الإجازة في المسرح و فنون العرض,96.9936,96.3101,101.7
آداب,جامعة تونس,المعهد العالى لمهن التراث بتونس,الإجازة في المحافظة على الممتلكات الثقافية و ترميمها,77.3135,82.7556,75.7315
آداب,جامعة تونس,المعهد التحضيري للدراسات الأدبية والعلوم الإنسانية بتونس,المرحلة التحضيرية للغات والآداب:عربية,109.3725,101.9425,110.5325
آداب,جامعة تونس,المعهد التحضيري للدراسات الأدبية والعلوم الإنسانية بتونس,المرحلة التحضيرية للغات والآداب:فرنسية,113.995,81.5849,121.9875
آداب,جامعة تونس,المعهد التحضيري للدراسات الأدبية والعلوم الإنسانية بتونس,المرحلة التحضيرية للغات والآداب:انقليزية,150.6825,144.0325,150.585
آداب,جامعة تونس,المعهد التحضيري للدراسات الأدبية والعلوم الإنسانية بتونس,المرحلة التحضيرية للعلوم الإنسانية:تاريخ,91.4275,90.0934,87.8384
آداب,جامعة تونس,المعهد التحضيري للدراسات الأدبية والعلوم الإنسانية بتونس,المرحلة التحضيرية للعلوم الإنسانية:جغرافيا,89.446,86.5518,84.0227
آداب,جامعة تونس,المعهد التحضيري للدراسات الأدبية والعلوم الإنسانية بتونس,المرحلة التحضيرية للعلوم الإنسانية:فلسفة,93.415,87.5744,92.1575
آداب,جامعة تونس,المعهد العالي للدراسات التطبيقية في الإنسانيات بزغوان,الإجازة في التربية والتعليم,121.505,102.1285,118.72
آداب,جامعة منوبة,كلية الآداب والفنون والإنسانيات بمنوبة,الإجازة في الإسبانية,89.8317,78.3633,81.6586
آداب,جامعة منوبة,كلية الآداب والفنون والإنسانيات بمنوبة,الإجازة في الإيطالية,100.0434,98.8912,93.4468
آداب,جامعة منوبة,كلية الآداب والفنون والإنسانيات بمنوبة,الإجازة في الألمانية,93.0132,88.2051,78.1
آداب,جامعة منوبة,كلية الآداب والفنون والإنسانيات بمنوبة,الاجازة في الجيوبوليتيك و العلاقات الدولية,147.29,141.1567,147.2883
آداب,جامعة منوبة,كلية الآداب والفنون والإنسانيات بمنوبة,الإجازة في العربية,95.2407,94.4844,92.7816
آداب,جامعة منوبة,كلية الآداب والفنون والإنسانيات بمنوبة,الإجازة في الإنقليزية,113.2383,109.6764,104.4567
آداب,جامعة منوبة,كلية الآداب والفنون والإنسانيات بمنوبة,الإجازة في الفرنسية,73.0384,69.8618,67.3849
آداب,جامعة منوبة,كلية الآداب والفنون والإنسانيات بمنوبة,الإجازة في التاريخ,72.8966,82.5931,76.6534
آداب,جامعة منوبة,كلية الآداب والفنون والإنسانيات بمنوبة,الإجازة في الجغرافيا,73.905,85.7177,81.8285
آداب,جامعة منوبة,كلية الآداب والفنون والإنسانيات بمنوبة,المرحلة التحضيرية للغات والآداب:عربية,87.322,90.5724,91.47
آداب,جامعة منوبة,كلية الآداب والفنون والإنسانيات بمنوبة,المرحلة التحضيرية للغات والآداب:فرنسية,75.5009,75.6552,78.0551
آداب,جامعة منوبة,كلية الآداب والفنون والإنسانيات بمنوبة,المرحلة التحضيرية للغات والآداب:انقليزية,123.8275,126.755,130.24
آداب,جامعة منوبة,معهد الصحافة وعلوم الإخبار,الإجازة في الصحافة,107.7875,102.78,106.81
آداب,جامعة منوبة,معهد الصحافة وعلوم الإخبار,الإجازة في الاتصال,98.495,97.59,100.2591
آداب,جامعة منوبة,المعهد العالي للتوثيق بتونس,الإجازة في التصرف الإلكتروني في المعلومات و الوثائق,108.8533,104.2095,108.99
آداب,جامعة منوبة,المعهد العالي للتوثيق بتونس,الإجازة في التوثيق وعلوم المكتبات والأرشيف,96.4967,95.41,100.1167
آداب,جامعة منوبة,المعهد العالي للتربية المختصة,الإجازة في التربية المختصة,128.625,125.35,131.62
آداب,جامعة منوبة,المعهد العالي لفنون الملتميديا بمنوبة,الإجازة في السينما والسمعي البصري,121.7018,117.1115,110.5899
آداب,جامعة منوبة,المعهد العالي لفنون الملتميديا بمنوبة,الإجازة في الفنون و الوسائط,128.5284,124.3233,129.6091
آداب,جامعة منوبة,المدرسة العليا لعلوم و تكنولوجيات التصميم,الإجازة في تصميم الفضاء,128.425,125.1686,123.295
